Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
binary,chi2_top_15_features,15,Random Forest,0.9973465374683125,3.407,0.043,0.9982608155532781,0.9996886118786674,0.9954,,
binary,chi2_top_15_features,15,Naive Bayes,0.8524959131938686,0.069,0.013,0.9115876171542175,0.7991482070228817,0.3886,,
binary,chi2_top_15_features,15,ANN (MLP),0.9835106256959416,42.48,0.028,0.9892399975264362,0.9949438883541868,0.9519,,
binary,chi2_top_15_features,15,XGBoost,0.9967779383543794,0.339,0.009,0.9978872801839309,0.9998424912291595,0.9955,,
binary,chi2_top_15_features,15,Gradient Boosting,0.9928214361865952,17.455,0.046,0.9952983163938242,0.9977659008351702,0.9835,,
binary,chi2_top_20_features,20,Logistic Regression,0.9018929612168021,6.675,0.004,0.9352756373184952,0.9424964761402093,0.8149,,
binary,chi2_top_20_features,20,KNN,0.9970385462815987,0.027,5.61,0.9980593376907672,0.9982393352789594,0.9941,,
binary,chi2_top_20_features,20,Decision Tree,0.9968253216138738,0.461,0.006,0.9979184142666294,0.99672125958583,0.9955,,
binary,chi2_top_20_features,20,Random Forest,0.9975597621360374,3.563,0.043,0.9984006459527026,0.9997818963643703,0.9957,,
binary,chi2_top_20_features,20,Naive Bayes,0.8690800540169158,0.082,0.017,0.9202827466820542,0.8814477428669005,0.4786,,
binary,chi2_top_20_features,20,ANN (MLP),0.9745788812812434,19.526,0.029,0.983155680444577,0.9965785277406936,0.9822,,
binary,chi2_top_20_features,20,XGBoost,0.9972754625790708,0.378,0.01,0.9982139251712302,0.9998888478375609,0.9958,,
binary,chi2_top_20_features,20,Gradient Boosting,0.9929635859650785,18.48,0.045,0.9953889863532627,0.9987542643360551,0.9855,,
binary,mi_top_10_features,10,Logistic Regression,0.9056599303466085,2.48,0.003,0.937550969198921,0.8518228693843336,0.8336,,
binary,mi_top_10_features,10,KNN,0.9967542467246322,0.513,6.298,0.9978725056293191,0.9982718774255643,0.9943,,
binary,mi_top_10_features,10,Decision Tree,0.9966594802056433,0.412,0.006,0.997809640687866,0.996554615169673,0.9952,,
binary,mi_top_10_features,10,Random Forest,0.9975360705062901,4.002,0.058,0.9983848925332339,0.9998675525474247,0.9961,,
binary,mi_top_10_features,10,Naive Bayes,0.23819564547845246,0.047,0.01,0.003471038522329315,0.6662667189294917,0.9998,,
binary,mi_top_10_features,10,ANN (MLP),0.9903575066928854,36.827,0.028,0.9936674394361376,0.9968121627495421,0.987,,
binary,mi_top_10_features,10,XGBoost,0.9970148546518515,0.324,0.01,0.9980426272292301,0.9998922335372102,0.996,,
